Output Areas Code,Count
E00000001,76
E00000003,110
E00000005,109
E00000007,2035
E00000010,112
E00000013,211
E00000018,906
E00000019,484
E00000020,103
E00000021,5134
E00000022,71
E00000023,98
E00000024,5928
E00000025,4579
E00000028,1815
E00000029,2899
E00000030,433
E00000031,55
E00000032,54
E00000037,68
E00000038,85
E00000039,54
E00000040,189
E00000041,221
E00000042,43
E00000043,44
E00000045,60
E00000046,76
E00000048,54
E00000049,95
E00000050,82
E00000051,180
E00000052,53
E00000053,115
E00000054,203
E00000055,112
E00000056,718
E00000057,59
E00000059,49
E00000060,51
E00000061,54
E00000063,76
E00000064,67
E00000066,154
E00000067,65
E00000068,72
E00000069,72
E00000070,92
E00000071,75
E00000072,67
E00000073,74
E00000074,50
E00000075,81
E00000076,70
E00000077,67
E00000078,53
E00000079,219
E00000080,188
E00000081,61
E00000082,72
E00000083,53
E00000084,73
E00000085,58
E00000086,63
E00000087,60
E00000088,67
E00000089,131
E00000090,84
E00000091,93
E00000092,90
E00000093,325
E00000094,67
E00000095,102
E00000096,70
E00000097,152
E00000098,63
E00000099,23
E00000100,224
E00000101,68
E00000102,93
E00000103,89
E00000104,164
E00000106,90
E00000107,112
E00000108,108
E00000109,92
E00000110,57
E00000111,95
E00000112,84
E00000113,109
E00000114,70
E00000115,101
E00000116,89
E00000117,106
E00000118,74
E00000119,63
E00000120,73
E00000121,123
E00000122,59
E00000123,160
E00000124,62
E00000125,77
E00000128,52
E00000129,58
E00000130,59
E00000131,76
E00000132,85
E00000133,79
E00000134,76
E00000135,81
E00000136,86
E00000137,90
E00000138,143
E00000139,77
E00000140,92
E00000141,48
E00000142,77
E00000143,77
E00000144,74
E00000145,41
E00000146,56
E00000147,69
E00000148,25
E00000149,89
E00000150,80
E00000151,355
E00000152,138
E00000153,70
E00000154,374
E00000155,197
E00000156,278
E00000157,66
E00000158,83
E00000159,118
E00000160,103
E00000161,68
E00000162,91
E00000163,131
E00000164,56
E00000165,54
E00000166,47
E00000167,100
E00000168,72
E00000169,47
E00000170,67
E00000171,87
E00000172,73
E00000173,563
E00000174,154
E00000175,310
E00000176,86
E00000177,160
E00000178,188
E00000179,73
E00000180,270
E00000181,132
E00000182,77
E00000183,142
E00000184,88
E00000185,80
E00000186,90
E00000187,76
E00000188,66
E00000189,152
E00000190,63
E00000191,94
E00000192,121
E00000193,83
E00000194,110
E00000195,533
E00000196,61
E00000197,105
E00000198,31
E00000199,77
E00000200,69
E00000201,99
E00000202,68
E00000203,83
E00000204,63
E00000205,95
E00000206,40
E00000207,54
E00000208,70
E00000209,63
E00000210,86
E00000211,51
E00000212,31
E00000213,107
E00000214,62
E00000215,86
E00000216,121
E00000217,55
E00000218,107
E00000219,59
E00000220,68
E00000221,98
E00000222,183
E00000223,165
E00000224,151
E00000225,60
E00000226,201
E00000227,113
E00000228,78
E00000229,67
E00000230,92
E00000231,74
E00000232,333
E00000234,78
E00000236,59
E00000237,77
E00000238,44
E00000240,79
E00000243,81
E00000244,147
E00000245,36
E00000246,138
E00000247,91
E00000249,88
E00000251,167
E00000252,138
E00000253,27
E00000255,80
E00000256,56
E00000257,101
E00000258,72
E00000259,59
E00000260,169
E00000261,74
E00000263,330
E00000265,48
E00000266,73
E00000267,67
E00000268,72
E00000269,77
E00000270,69
E00000271,51
E00000272,64
E00000273,54
E00000274,64
E00000275,91
E00000276,322
E00000277,74
E00000278,228
E00000279,55
E00000280,71
E00000282,56
E00000283,66
E00000284,62
E00000285,157
E00000286,94
E00000287,140
E00000288,88
E00000289,64
E00000290,83
E00000291,60
E00000292,58
E00000293,103
E00000294,112
E00000295,73
E00000296,90
E00000297,157
E00000298,72
E00000299,67
E00000300,363
E00000301,281
E00000302,69
E00000303,71
E00000304,41
E00000305,395
E00000306,164
E00000307,102
E00000308,260
E00000309,32
E00000310,105
E00000311,86
E00000312,94
E00000313,111
E00000314,141
E00000315,68
E00000316,192
E00000317,28
E00000318,175
E00000319,53
E00000320,107
E00000321,65
E00000322,76
E00000323,42
E00000324,71
E00000325,403
E00000326,194
E00000327,153
E00000328,98
E00000329,61
E00000330,84
E00000331,80
E00000332,97
E00000333,98
E00000334,112
E00000335,85
E00000336,177
E00000337,205
E00000338,114
E00000340,219
E00000341,423
E00000342,87
E00000343,113
E00000344,435
E00000345,111
E00000346,130
E00000347,87
E00000348,381
E00000349,109
E00000350,75
E00000351,141
E00000353,103
E00000354,108
E00000355,74
E00000356,84
E00000357,106
E00000358,44
E00000360,91
E00000361,50
E00000362,70
E00000363,73
E00000364,143
E00000365,92
E00000366,81
E00000367,78
E00000368,94
E00000369,71
E00000370,155
E00000371,60
E00000372,57
E00000373,101
E00000374,83
E00000375,55
E00000376,100
E00000377,169
E00000378,105
E00000379,101
E00000380,106
E00000381,75
E00000382,71
E00000383,53
E00000384,77
E00000385,67
E00000386,100
E00000387,150
E00000388,65
E00000389,188
E00000390,72
E00000391,51
E00000392,84
E00000393,97
E00000394,58
E00000395,84
E00000396,60
E00000397,207
E00000398,60
E00000399,87
E00000400,71
E00000401,379
E00000402,72
E00000403,79
E00000404,117
E00000405,82
E00000406,80
E00000407,70
E00000408,66
E00000409,100
E00000410,60
E00000411,71
E00000412,73
E00000413,78
E00000414,121
E00000415,60
E00000416,78
E00000417,59
E00000418,69
E00000419,59
E00000420,78
E00000421,186
E00000422,72
E00000423,62
E00000424,257
E00000425,75
E00000426,90
E00000427,71
E00000428,80
E00000429,60
E00000430,45
E00000431,274
E00000432,68
E00000433,50
E00000434,2420
E00000435,68
E00000436,62
E00000437,90
E00000438,64
E00000439,67
E00000440,102
E00000441,135
E00000442,55
E00000443,78
E00000444,68
E00000445,90
E00000446,58
E00000447,26
E00000448,142
E00000449,128
E00000450,287
E00000451,53
E00000453,240
E00000454,49
E00000455,164
E00000456,223
E00000457,422
E00000461,59
E00000462,191
E00000463,565
E00000464,3047
E00000465,63
E00000466,65
E00000467,67
E00000468,67
E00000469,157
E00000470,273
E00000471,70
E00000472,348
E00000475,46
E00000476,31
E00000477,100
E00000478,248
E00000479,70
E00000480,54
E00000481,53
E00000482,110
E00000483,78
E00000484,154
E00000485,86
E00000487,43
E00000488,62
E00000489,86
E00000490,106
E00000491,69
E00000492,83
E00000493,67
E00000494,119
E00000495,58
E00000496,72
E00000497,61
E00000498,69
E00000499,65
E00000500,238
E00000501,38
E00000502,176
E00000503,79
E00000504,157
E00000505,69
E00000506,90
E00000507,69
E00000508,81
E00000509,51
E00000510,78
E00000511,305
E00000512,126
E00000513,88
E00000514,64
E00000515,47
E00000516,44
E00000517,54
E00000518,77
E00000519,53
E00000520,117
E00000521,66
E00000522,52
E00000523,68
E00000524,67
E00000525,67
E00000526,138
E00000527,261
E00000528,88
E00000529,43
E00000530,62
E00000531,68
E00000532,88
E00000533,169
E00000534,76
E00000535,107
E00000536,65
E00000537,93
E00000538,80
E00000539,87
E00000540,66
E00000541,107
E00000542,26
E00000543,96
E00000544,85
E00000545,72
E00000547,98
E00000548,95
E00000549,304
E00000550,69
E00000551,287
E00000552,86
E00000553,175
E00000554,84
E00000555,100
E00000556,85
E00000557,60
E00000558,330
E00000559,62
E00000560,183
E00000561,109
E00000562,112
E00000563,38
E00000564,65
E00000565,195
E00000566,199
E00000567,285
E00000568,184
E00000569,171
E00000570,98
E00000571,125
E00000572,109
E00000573,138
E00000574,62
E00000575,93
E00000576,102
E00000577,69
E00000578,107
E00000579,139
E00000580,143
E00000581,109
E00000583,123
E00000584,111
E00000585,123
E00000586,108
E00000587,87
E00000588,150
E00000589,123
E00000590,203
E00000591,110
E00000592,83
E00000593,129
E00000594,100
E00000595,159
E00000596,98
E00000597,122
E00000598,123
E00000599,86
E00000600,179
E00000601,117
E00000602,442
E00000603,104
E00000604,144
E00000605,122
E00000606,94
E00000607,280
E00000608,100
E00000609,360
E00000610,138
E00000611,95
E00000612,122
E00000613,169
E00000614,100
E00000615,181
E00000616,247
E00000617,91
E00000618,71
E00000619,87
E00000620,104
E00000622,80
E00000624,71
E00000625,92
E00000626,68
E00000627,59
E00000628,179
E00000629,106
E00000630,78
E00000631,77
E00000632,60
E00000633,82
E00000634,94
E00000635,148
E00000636,96
E00000637,73
E00000638,81
E00000640,80
E00000641,70
E00000642,92
E00000643,156
E00000644,173
E00000645,66
E00000646,65
E00000647,70
E00000648,65
E00000649,91
E00000650,82
E00000651,108
E00000652,50
E00000653,79
E00000654,163
E00000655,105
E00000656,65
E00000657,80
E00000658,133
E00000659,147
E00000660,75
E00000661,124
E00000662,68
E00000663,63
E00000664,171
E00000666,353
E00000667,78
E00000668,326
E00000669,194
E00000670,213
E00000671,115
E00000672,166
E00000674,139
E00000675,110
E00000676,125
E00000677,73
E00000678,71
E00000679,190
E00000681,94
E00000682,85
E00000683,56
E00000684,85
E00000685,450
E00000686,140
E00000687,108
E00000688,101
E00000689,121
E00000690,127
E00000691,360
E00000692,135
E00000693,188
E00000694,219
E00000695,160
E00000697,121
E00000698,310
E00000699,148
E00000700,145
E00000701,104
E00000702,447
E00000703,128
E00000704,251
E00000705,174
E00000706,160
E00000707,187
E00000708,210
E00000709,159
E00000710,112
E00000711,190
E00000712,101
E00000713,151
E00000714,89
E00000715,104
E00000716,197
E00000717,59
E00000718,89
E00000719,97
E00000720,109
E00000721,221
E00000722,131
E00000723,88
E00000724,161
E00000725,80
E00000726,129
E00000727,91
E00000728,278
E00000730,155
E00000732,230
E00000737,33
E00000738,48
E00000739,87
E00000740,44
E00000742,53
E00000743,44
E00000745,69
E00000746,42
E00000747,84
E00000748,359
E00000749,71
E00000750,38
E00000751,80
E00000752,130
E00000754,80
E00000755,65
E00000756,72
E00000757,78
E00000758,66
E00000761,147
E00000763,313
E00000767,183
E00000768,106
E00000769,249
E00000770,119
E00000771,345
E00000772,61
E00000773,130
E00000774,112
E00000775,144
E00000776,103
E00000777,118
E00000778,127
E00000779,170
E00000780,82
E00000781,306
E00000782,229
E00000783,78
E00000785,124
E00000786,113
E00000787,99
E00000788,64
E00000789,61
E00000790,40
E00000791,67
E00000792,83
E00000793,104
E00000794,556
E00000795,125
E00000796,59
E00000797,105
E00000798,93
E00000799,130
E00000800,178
E00000801,92
E00000802,165
E00000803,102
E00000804,160
E00000805,185
E00000806,205
E00000807,55
E00000808,95
E00000809,59
E00000810,96
E00000811,121
E00000812,140
E00000813,142
E00000814,99
E00000815,221
E00000816,128
E00000817,211
E00000818,113
E00000819,111
E00000820,117
E00000821,69
E00000822,74
E00000823,160
E00000824,76
E00000825,104
E00000826,61
E00000827,87
E00000828,78
E00000829,104
E00000830,446
E00000831,130
E00000832,125
E00000833,115
E00000834,78
E00000835,67
E00000836,87
E00000837,65
E00000838,87
E00000839,83
E00000840,188
E00000841,120
E00000842,207
E00000843,182
E00000844,112
E00000845,154
E00000846,113
E00000847,103
E00000848,171
E00000849,105
E00000850,84
E00000851,108
E00000852,103
E00000853,652
E00000854,291
E00000855,109
E00000856,128
E00000857,103
E00000858,119
E00000859,54
E00000860,102
E00000861,107
E00000863,102
E00000864,92
E00000865,387
E00000866,135
E00000867,131
E00000868,69
E00000869,136
E00000870,97
E00000871,129
E00000872,37
E00000873,129
E00000874,59
E00000875,217
E00000876,91
E00000877,145
E00000878,216
E00000880,48
E00000881,92
E00000882,91
E00000883,300
E00000884,109
E00000885,70
E00000886,119
E00000887,66
E00000888,79
E00000889,60
E00000890,142
E00000891,198
E00000892,165
E00000893,169
E00000894,89
E00000895,159
E00000896,72
E00000897,59
E00000898,114
E00000899,116
E00000900,249
E00000901,261
E00000902,115
E00000903,109
E00000904,34
E00000905,141
E00000906,130
E00000907,112
E00000908,114
E00000909,148
E00000910,132
E00000911,478
E00000912,111
E00000913,165
E00000914,74
E00000915,129
E00000916,143
E00000917,70
E00000918,81
E00000919,163
E00000920,434
E00000921,97
E00000922,259
E00000923,125
E00000924,79
E00000925,104
E00000926,252
E00000927,86
E00000928,125
E00000929,126
E00000930,126
E00000931,114
E00000932,147
E00000934,213
E00000935,128
E00000936,135
E00000937,107
E00000938,93
E00000939,112
E00000940,88
E00000941,216
E00000943,174
E00000944,144
E00000945,159
E00000947,135
E00000948,133
E00000949,126
E00000950,146
E00000951,106
E00000952,107
E00000953,686
E00000954,123
E00000955,140
E00000956,152
E00000958,452
E00000959,409
E00000960,177
E00000961,134
E00000962,112
E00000963,109
E00000964,222
E00000965,64
E00000966,92
E00000967,264
E00000968,161
E00000969,94
E00000970,127
E00000971,114
E00000972,134
E00000973,110
E00000974,133
E00000975,104
E00000976,69
E00000977,159
E00000978,98
E00000979,99
E00000980,79
E00000981,232
E00000982,153
E00000983,141
E00000984,167
E00000985,137
E00000986,178
E00000987,221
E00000988,145
E00000990,93
E00000991,341
E00000992,182
E00000993,130
E00000994,82
E00000995,113
E00000996,381
E00000997,155
E00000998,82
E00000999,107
E00001000,71
E00001001,50
E00001002,117
E00001003,83
E00001004,156
E00001005,147
E00001006,245
E00001007,130
E00001008,121
E00001009,172
E00001010,191
E00001011,128
E00001012,57
E00001013,168
E00001014,451
E00001015,232
E00001016,121
E00001017,173
E00001018,248
E00001019,90
E00001020,131
E00001021,112
E00001022,103
E00001023,216
E00001024,119
E00001025,138
E00001026,279
E00001027,119
E00001028,232
E00001029,106
